ID STAR;SGnnt;SGcodeEtab
135946;2020AIXM0010;AIXM
164290;2021AIXM0384;AIXM
131431;2019BORD0382;BORD
173308;2021BORD0390;BORD
129179;2019CNAM1255;CNAM
183233;2021EHES0069;EHES
139998;2020GRALM035;GRAL
110060;2018GREAL013;GREA
124673;2019GREAM072;GREA
131290;2019GREAU036;GREA
112903;2019IMTA0039;IMTA
108248;2018INPT0079;INPT
163467;2021INPT0107;INPT
153811;2020IPPAT049;IPPA
117966;2018LARE0032;LARE
136766;2020LIMO0016;LIMO
107212;2018LYSE2028;LYSE
109072;2018LYSE3050;LYSE
111628;2018LYSE1149;LYSE
134869;2019LYSE1267;LYSE
166005;2021LYSEN079;LYSE
148513;2020MON30029;MON3
163414;2021MON30075;MON3
104141;2018MONTS136;MONT
146549;2020NANT4011;NANT
105029;2018NORMC254;NORM
132373;2019NORMR067;NORM
132520;2019NORMC227;NORM
152604;2019ORLE3098;ORLE
146104;2020PA01E016;PA01
109639;2018PA020029;PA02
116683;2018POIT5026;POIT
108890;2017REN1S150;REN1
114288;2018SACLX073;SACL
129680;2018SORUS229;SORU
132585;2018SORUS475;SORU
137768;2019SORUS180;SORU
137816;2019SORUS226;SORU
149789;2020SORUS044;SORU
150501;2020SORUL112;SORU
111369;2018STRAE027;STRA
153633;2021STRAJ107;STRA
106417;2017UBFCH036;UBFC
118497;2018UBFCH040;UBFC
141724;2020UBFCD039;UBFC
150841;2020UNIP7217;UNIP
135062;2020UPASS031;UPAS
178619;2022UPASP023;UPAS
178625;2022UPASG009;UPAS
181420;2022UPASG021;UPAS
137425;2020UPSLP005;UPSL
173060;2021UPSLM060;UPSL
113832;2018USPCB080;USPC
